host,vacuum,difference_core,difference_shoulder,difference_total,aligned
1.730000000000e-01,9.700710000000e-01,6.149734218622e-01,1.018910116065e+00,1.633883537927e+00,2.687500454093e-01
1.740000000000e-01,9.697240000000e-01,6.114631759495e-01,1.029825123865e+00,1.641288299814e+00,2.714128260078e-01
1.750000000000e-01,9.693750000000e-01,6.079516514488e-01,1.040782176044e+00,1.648733827493e+00,2.740810272411e-01
1.760000000000e-01,9.690240000000e-01,6.044390787718e-01,1.051780910568e+00,1.656219989340e+00,2.767544966617e-01
1.770000000000e-01,9.686710000000e-01,6.009256873484e-01,1.062820963309e+00,1.663746650657e+00,2.794330814695e-01
1.780000000000e-01,9.683160000000e-01,5.974117056032e-01,1.073901968047e+00,1.671313673650e+00,2.821166285206e-01
1.790000000000e-01,9.679590000000e-01,5.938973609332e-01,1.085023556475e+00,1.678920917409e+00,2.848049843350e-01
1.800000000000e-01,9.676000000000e-01,5.903828796848e-01,1.096185358198e+00,1.686568237883e+00,2.874979951059e-01
1.810000000000e-01,9.672390000000e-01,5.868684871310e-01,1.107387000735e+00,1.694255487866e+00,2.901955067071e-01
1.820000000000e-01,9.668760000000e-01,5.833544074502e-01,1.118628109520e+00,1.701982516971e+00,2.928973647023e-01
1.830000000000e-01,9.665110000000e-01,5.798408637033e-01,1.129908307908e+00,1.709749171611e+00,2.956034143533e-01
1.840000000000e-01,9.661440000000e-01,5.763280778125e-01,1.141227217170e+00,1.717555294982e+00,2.983135006284e-01
1.850000000000e-01,9.657750000000e-01,5.728162705399e-01,1.152584456502e+00,1.725400727042e+00,3.010274682110e-01
1.860000000000e-01,9.654040000000e-01,5.693056614662e-01,1.163979643022e+00,1.733285304489e+00,3.037451615086e-01
1.870000000000e-01,9.650310000000e-01,5.657964689697e-01,1.175412391777e+00,1.741208860747e+00,3.064664246606e-01
1.880000000000e-01,9.646560000000e-01,5.622889102060e-01,1.186882315740e+00,1.749171225946e+00,3.091911015477e-01
1.890000000000e-01,9.642790000000e-01,5.587832010873e-01,1.198389025815e+00,1.757172226902e+00,3.119190358002e-01
1.900000000000e-01,9.639000000000e-01,5.552795562623e-01,1.209932130840e+00,1.765211687102e+00,3.146500708067e-01
1.910000000000e-01,9.635190000000e-01,5.517781890966e-01,1.221511237587e+00,1.773289426684e+00,3.173840497230e-01
1.920000000000e-01,9.631360000000e-01,5.482793116529e-01,1.233125950768e+00,1.781405262421e+00,3.201208154807e-01
1.930000000000e-01,9.627510000000e-01,5.447831346719e-01,1.244775873035e+00,1.789559007706e+00,3.228602107959e-01
1.940000000000e-01,9.623640000000e-01,5.412898675530e-01,1.256460604981e+00,1.797750472534e+00,3.256020781782e-01
1.950000000000e-01,9.619750000000e-01,5.377997183358e-01,1.268179745149e+00,1.805979463485e+00,3.283462599395e-01
1.960000000000e-01,9.615840000000e-01,5.343128936816e-01,1.279932890028e+00,1.814245783710e+00,3.310925982026e-01
1.970000000000e-01,9.611910000000e-01,5.308295988550e-01,1.291719634059e+00,1.822549232914e+00,3.338409349104e-01
1.980000000000e-01,9.607960000000e-01,5.273500377064e-01,1.303539569638e+00,1.830889607345e+00,3.365911118347e-01
1.990000000000e-01,9.603990000000e-01,5.238744126539e-01,1.315392287119e+00,1.839266699773e+00,3.393429705851e-01
2.000000000000e-01,9.600000000000e-01,5.204029246665e-01,1.327277374816e+00,1.847680299483e+00,3.420963526177e-01
2.010000000000e-01,9.595990000000e-01,5.169357732464e-01,1.339194419008e+00,1.856130192254e+00,3.448510992448e-01
2.020000000000e-01,9.591960000000e-01,5.134731564131e-01,1.351143003940e+00,1.864616160353e+00,3.476070516429e-01
2.030000000000e-01,9.587910000000e-01,5.100152706862e-01,1.363122711828e+00,1.873137982514e+00,3.503640508627e-01
2.040000000000e-01,9.583840000000e-01,5.065623110695e-01,1.375133122863e+00,1.881695433932e+00,3.531219378374e-01
2.050000000000e-01,9.579750000000e-01,5.031144710354e-01,1.387173815212e+00,1.890288286248e+00,3.558805533922e-01
